Department,Education,Title,Name,Years,Salary
Admin,Master,associate,David,4,58
IT,Master,associate,Thomas,7,45
Admin,Master,associate,Diana,10,52
Admin,Master,VP,Manuella,15,33
Sales,Master,Analyst,Carla,6,38
HR,Master,Analyst,Corey,4,71
Admin,Master,Analyst,Edgar,5,33
HR,Master,associate,Carol,14,53
Admin,PhD,associate,Jean,8,50
Admin,Master,associate,Kareem,3,104
Admin,Master,associate,Cynthia,1,114
IT,PhD,Analyst,Lester,13,85
Admin,Bachelor,associate,Leonardo,1,46
Sales,Bachelor,VP,Pere,7,102
IT,Bachelor,Analyst,Steven,15,51
HR,PhD,associate,Ingrid,1,44
Admin,Bachelor,associate,Shanon,1,99
Admin,Master,Analyst,Alice,1,102
Admin,Bachelor,associate,Megan,9,79
IT,PhD,VP,Doug,11,111
Sales,Master,Analyst,Laura,9,56
HR,Bachelor,VP,Dean,9,37
IT,PhD,associate,Manuella,2,71
Sales,PhD,associate,Clayton,3,94
HR,Bachelor,Analyst,Zach,5,82
HR,Bachelor,VP,Lee,10,44
Sales,Bachelor,associate,Edgar,2,87
IT,Bachelor,Analyst,Sean,12,30
Admin,PhD,Analyst,Samuel,14,85
HR,Master,associate,Melvin,15,52
Admin,PhD,VP,Ben,6,50
Sales,Bachelor,VP,Kelly,2,38
Sales,Master,VP,Craig,8,60
Sales,Bachelor,Analyst,Ashely,2,64
Admin,Bachelor,VP,Dennis,15,103
HR,PhD,VP,Nancy,2,97
Admin,Master,associate,Howard,10,96
Admin,PhD,Analyst,Vanessa,2,61
HR,Bachelor,Analyst,Paige,14,101
IT,PhD,VP,Stanley,14,104
Admin,Master,VP,Carol,1,114
IT,PhD,associate,Kim,9,76
IT,Master,Analyst,Kathy,11,71
HR,Bachelor,VP,Luke,6,38
Admin,Bachelor,associate,Arnold,13,53
HR,Bachelor,associate,Kevin,2,98
Admin,PhD,Analyst,Kareem,14,87
Admin,Bachelor,VP,Melissa,8,31
HR,Master,associate,Fracisco,7,69
HR,PhD,associate,Pere,6,91
Admin,Bachelor,Analyst,Brennan,3,82
IT,PhD,VP,Winston,3,80
Admin,Bachelor,VP,Jay,2,90
IT,PhD,associate,Julian,12,33
Admin,Bachelor,VP,Carlos,7,107
Admin,PhD,associate,Karl,3,97
IT,Bachelor,Analyst,Rebecca,3,98
Sales,PhD,VP,Vince,2,92
IT,PhD,associate,Elena,9,75
Admin,Bachelor,associate,Henry,1,59
Sales,Master,VP,Claire,5,85
Sales,Bachelor,Analyst,Justin,8,85
Admin,Bachelor,VP,Alix,2,68
HR,Master,VP,Miriam,5,51
HR,PhD,associate,Carlos,13,95
Sales,Bachelor,VP,Duane,7,84
HR,Master,associate,Pere,10,109
Admin,Bachelor,Analyst,Dennis,10,33
Admin,Master,associate,Leonardo,5,32
IT,Master,Analyst,Rachel,1,119
IT,Master,VP,Chad,11,111
IT,Master,VP,Leo,3,120
HR,Bachelor,Analyst,Patricia,9,97
Admin,PhD,Analyst,Stanley,11,111
Admin,Bachelor,Analyst,Darrell,7,55
IT,PhD,VP,Steven,6,61
Admin,PhD,associate,Leslie,15,70
Sales,Master,Analyst,Paige,4,42
Admin,PhD,VP,Kai,12,93
IT,Master,associate,Mauricio,1,45
IT,Master,Analyst,Sinead,5,113
Sales,Master,Analyst,Clayton,10,75
IT,Bachelor,associate,Jorge,4,62
Sales,PhD,Analyst,Doug,13,118
HR,Bachelor,associate,Lisa,9,117
IT,PhD,VP,Gunter,7,69
Sales,PhD,Analyst,Sam,3,74
HR,Master,associate,Darrell,1,117
IT,PhD,Analyst,Andreas,3,40
Admin,Master,VP,Peter,11,105
HR,Bachelor,associate,Joel,1,94
HR,Bachelor,Analyst,Kim,15,42
Admin,Master,associate, Beverly,4,70
HR,Bachelor,associate,Ali,5,57
HR,Bachelor,VP,Ted,5,115
IT,Bachelor,VP,Andreas,14,114
HR,PhD,associate,Robin,2,47
Admin,PhD,Analyst,Sandra,14,68
Admin,Bachelor,VP,Alejandra,13,71
HR,Bachelor,associate,Jeff,12,109
Admin,Master,associate,Carey,9,87
IT,PhD,VP,Chad,9,72
HR,Bachelor,Analyst,Anna,4,78
IT,Master,associate,Greg,15,66
HR,PhD,VP,Carlos,14,33
Admin,PhD,VP,Tyrone,14,51
Admin,Bachelor,associate,Luke,4,30
HR,Master,VP,Julia,4,61
HR,Bachelor,VP,Lola,4,96
IT,PhD,Analyst,Wesley,11,55
Admin,Bachelor,associate,Frank,9,114
Admin,Bachelor,Analyst,Jimmie,11,106
HR,Master,associate,Violeta,15,59
Admin,Bachelor,Analyst,Fred,7,111
IT,Master,associate,Carey,13,35
IT,PhD,Analyst,Ann,1,32
HR,Bachelor,Analyst,Bradley,2,75
IT,Master,VP,Will,8,49
Sales,PhD,VP,Kurt,13,113
Admin,PhD,associate,Jean,2,99
Admin,Bachelor,Analyst,Winston,14,88
Admin,Master,VP,Herbert,3,72
HR,Master,Analyst,Gordon,10,36
Sales,Master,Analyst,Tyrone,12,105
IT,Bachelor,VP,David,3,31
HR,PhD,associate,Erika,7,94
HR,Bachelor,Analyst,Violeta,12,50
HR,Master,Analyst,Lisa,10,81
Sales,PhD,VP,Adam,8,30
Admin,Bachelor,VP,Eric,14,81
Admin,PhD,associate,Daniel,8,78
Sales,PhD,associate,Luis,10,69
IT,Bachelor,Analyst,Dean,4,111
Sales,Bachelor,Analyst,Chelsea,13,108
Sales,Bachelor,VP,Dustin,11,65
HR,PhD,VP,Maria,6,101
IT,PhD,associate,Mohammed,5,99
Sales,Master,associate,Andrew,2,57
Sales,Master,Analyst,Jean,10,51
Sales,PhD,Analyst,Rick,11,30
Sales,PhD,associate,Herbert,2,120
HR,Master,associate,Charlie,8,78
HR,PhD,VP,Will,3,74
HR,Master,associate,Dean,14,101
Admin,PhD,Analyst,Megan,4,65
IT,Bachelor,associate,Megan,3,98
Admin,PhD,Analyst,Jay,1,70
IT,PhD,Analyst,Jean,8,47
HR,PhD,VP,Edgar,4,66
HR,Master,Analyst,Brendan,2,37
HR,Bachelor,associate,Earl,10,67
IT,Master,VP,Edgar,12,61
Sales,Master,associate,Don,3,53
IT,Master,VP,Greg,11,34
HR,PhD,Analyst,Josh,12,68
IT,Bachelor,VP,Rachel,14,116
Admin,PhD,associate,Amy,13,89
IT,PhD,associate,Julie,14,38
IT,Master,associate,Paul,15,96
HR,Bachelor,VP,Linda,1,110
Admin,PhD,Analyst,Marta,9,109
IT,Bachelor,associate,Augustin,9,48
Admin,Bachelor,VP,Jay,10,86
HR,PhD,Analyst,Brad,4,79
HR,Master,Analyst,Kareem,4,51
IT,Bachelor,VP,Edward,8,101
IT,Master,associate,Ryan,1,88
Sales,PhD,Analyst,Rihanna,12,47
HR,PhD,Analyst,Jamie,11,74
Admin,PhD,Analyst,Renee,4,92
Admin,Bachelor,Analyst,Nancy,4,36
HR,Master,VP,Claudia,5,35
Sales,PhD,associate,Jose,2,73
IT,Master,Analyst,Robin,1,71
Admin,Bachelor,VP,Shanon,9,120
Sales,Bachelor,VP,Robert,3,118
IT,Master,VP,Samuel,9,34
HR,Master,VP,Wesley,10,105
Admin,Bachelor,VP,Ashely,14,58
Sales,PhD,associate,Karl,3,87
IT,Master,VP,Vanessa,11,89
IT,PhD,VP,Rick,2,43
Sales,Master,VP,Ted,3,49
HR,Bachelor,VP,Kurt,13,101
IT,Master,associate,Roman,9,43
Sales,PhD,associate,Dennis,3,108
HR,Bachelor,Analyst,Don,3,79
Admin,PhD,associate,Marta,13,50
Sales,Master,Analyst,Zach,12,33
Admin,Bachelor,associate,Raj,1,82
Admin,Bachelor,Analyst,Dennis,2,43
Admin,PhD,VP,Carla,15,95
HR,Bachelor,associate,Jendrik,11,41
IT,Master,Analyst,Laura,2,41
Sales,Master,Analyst,Yin,3,68
Sales,PhD,associate,Julian,5,50
HR,Master,associate,Jamie,9,100
Admin,Master,VP,Pablo,1,106
IT,Master,VP,Alex,14,78
Admin,Master,VP,Roland,3,92
HR,Master,VP,Patricia,6,32
Sales,Bachelor,VP,Megan,15,94
IT,Master,Analyst,Elena,1,34
HR,PhD,associate,Jim,3,79
IT,PhD,VP,Ingrid,12,70
HR,PhD,associate,Elena,6,73
Sales,PhD,Analyst,Marcus,2,38
Sales,PhD,VP,Gunter,9,41
IT,PhD,VP,Lisa,5,106
Sales,Master,Analyst,Alice,2,102
IT,Bachelor,VP,Victoria,8,41
Sales,Master,VP,Kurt,8,35
Admin,PhD,associate,Felix,14,64
Admin,Master,Analyst,Ivan,5,71
Sales,Master,VP,Neil,11,30
Admin,Bachelor,VP,Phillip,2,100
IT,Bachelor,Analyst,Jerome,8,71
Sales,PhD,Analyst,Susan,10,110
IT,Master,VP,Violeta,7,84
Sales,PhD,Analyst,Pedro,11,93
Sales,Bachelor,Analyst,Raymond,5,58
